movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1298636
指环王3：王者无敌,2,9.2,410065
七武士,3,9.2,104275
蝙蝠侠：黑暗骑士,4,9.1,523559
搏击俱乐部,5,9.0,522141
指环王1：魔戒再现,6,9.0,431833
指环王2：双塔奇兵,7,9.0,385046
将军号,8,9.0,11537
V字仇杀队,9,8.9,604381
黑客帝国,10,8.9,410158
勇敢的心,11,8.9,374936
攻壳机动队,12,8.9,78989
用心棒,13,8.9,19384
让子弹飞,14,8.8,892453
谍影重重3,15,8.8,243053
纵横四海,16,8.8,213286
乱,17,8.8,45116
黑客帝国动画版,18,8.8,35454
蝙蝠侠：黑暗骑士归来(下),19,8.8,19567
桥,20,8.8,14226
攻壳机动队SSS,21,8.8,10958
头号玩家,22,8.7,771053
阿凡达,23,8.7,747355
加勒比海盗,24,8.7,491753
蝙蝠侠：黑暗骑士崛起,25,8.7,394651
蜘蛛侠：平行宇宙,26,8.7,327483
枪火,27,8.7,128977
东邪西毒：终极版,28,8.7,115774
极速风流,29,8.7,97210
精英部队2：大敌当前,30,8.7,53563
椿三十郎,31,8.7,11396
铁达尼号沉没记,32,8.7,5058
复仇者联盟4：终局之战,33,8.6,567302
超能陆战队,34,8.6,531073
东邪西毒,35,8.6,345366
被解救的姜戈,36,8.6,339239
疯狂的麦克斯4：狂暴之路,37,8.6,277620
英雄本色,38,8.6,258685
黑客帝国3：矩阵革命,39,8.6,212774
谍影重重2,40,8.6,209698
终结者2：审判日,41,8.6,189454
勇闯夺命岛,42,8.6,175691
黑鹰坠落,43,8.6,160368
恶童,44,8.6,53291
宾虚,45,8.6,22565
敲开天堂的门,46,8.6,10673
西线无战事,47,8.6,9468
大菩萨岭,48,8.6,6541
碧血金沙,49,8.6,4845
落叶,50,8.6,4544
我的英雄学院 第2季：英雄笔记,51,8.6,1128
滑铁卢战役,52,8.6,1052
小萝莉的猴神大叔,53,8.5,251423
谍影重重,54,8.5,250010
新龙门客栈,55,8.5,245407
黑客帝国2：重装上阵,56,8.5,187334
角斗士,57,8.5,144352
王牌对王牌,58,8.5,77128
启示,59,8.5,53445
