movie_name   ,ranking,score,score_num
肖申克的救赎       ,1      ,9.6  ,1422653人评价
霸王别姬         ,2      ,9.6  ,1053769人评价
这个杀手不太冷      ,3      ,9.4  ,1298486人评价
阿甘正传         ,4      ,9.4  ,1120622人评价
美丽人生         ,5      ,9.5  ,656059人评价
泰坦尼克号        ,6      ,9.3  ,1061424人评价
千与千寻         ,7      ,9.3  ,1046706人评价
辛德勒的名单       ,8      ,9.5  ,584693人评价
盗梦空间         ,9      ,9.3  ,1123770人评价
忠犬八公的故事      ,10     ,9.3  ,742882人评价
机器人总动员       ,11     ,9.3  ,744537人评价
三傻大闹宝莱坞      ,12     ,9.2  ,1010660人评价
海上钢琴师        ,13     ,9.2  ,828011人评价
放牛班的春天       ,14     ,9.3  ,700425人评价
楚门的世界        ,15     ,9.2  ,774691人评价
大话西游之大圣娶亲    ,16     ,9.2  ,782552人评价
星际穿越         ,17     ,9.2  ,803543人评价
龙猫           ,18     ,9.2  ,691793人评价
教父           ,19     ,9.3  ,507132人评价
熔炉           ,20     ,9.3  ,454278人评价
无间道          ,21     ,9.1  ,642887人评价
疯狂动物城        ,22     ,9.2  ,884984人评价
当幸福来敲门       ,23     ,9.0  ,818555人评价
怦然心动         ,24     ,9.0  ,905014人评价
触不可及         ,25     ,9.2  ,540622人评价
蝙蝠侠：黑暗骑士     ,26     ,9.1  ,523466人评价
乱世佳人         ,27     ,9.2  ,375291人评价
活着           ,28     ,9.2  ,417773人评价
少年派的奇幻漂流     ,29     ,9.0  ,814359人评价
控方证人         ,30     ,9.6  ,180582人评价
天堂电影院        ,31     ,9.2  ,401882人评价
指环王3：王者无敌    ,32     ,9.2  ,409964人评价
鬼子来了         ,33     ,9.2  ,341216人评价
十二怒汉         ,34     ,9.4  ,242528人评价
天空之城         ,35     ,9.1  ,479500人评价
摔跤吧！爸爸       ,36     ,9.0  ,785238人评价
飞屋环游记        ,37     ,9.0  ,730368人评价
大话西游之月光宝盒    ,38     ,9.0  ,632202人评价
搏击俱乐部        ,39     ,9.0  ,522065人评价
哈尔的移动城堡      ,40     ,9.0  ,532432人评价
罗马假日         ,41     ,9.0  ,546410人评价
闻香识女人        ,42     ,9.0  ,467278人评价
辩护人          ,43     ,9.2  ,322579人评价
窃听风暴         ,44     ,9.1  ,324258人评价
末代皇帝         ,45     ,9.1  ,320304人评价
两杆大烟枪        ,46     ,9.1  ,356858人评价
飞越疯人院        ,47     ,9.1  ,359761人评价
死亡诗社         ,48     ,9.0  ,395513人评价
寻梦环游记        ,49     ,9.0  ,749773人评价
素媛           ,50     ,9.2  ,296099人评价
指环王2：双塔奇兵    ,51     ,9.0  ,384952人评价
教父2          ,52     ,9.2  ,275154人评价
V字仇杀队        ,53     ,8.9  ,604329人评价
指环王1：魔戒再现    ,54     ,9.0  ,431732人评价
狮子王          ,55     ,9.0  ,410541人评价
饮食男女         ,56     ,9.1  ,295659人评价
海豚湾          ,57     ,9.3  ,237262人评价
美丽心灵         ,58     ,9.0  ,420031人评价
情书           ,59     ,8.9  ,521072人评价
钢琴家          ,60     ,9.1  ,276654人评价
本杰明·巴顿奇事     ,61     ,8.8  ,548083人评价
看不见的客人       ,62     ,8.8  ,588277人评价
美国往事         ,63     ,9.1  ,236903人评价
黑客帝国         ,64     ,8.9  ,410122人评价
西西里的美丽传说     ,65     ,8.8  ,519933人评价
小鞋子          ,66     ,9.2  ,203633人评价
哈利·波特与魔法石    ,67     ,8.9  ,432418人评价
大闹天宫         ,68     ,9.3  ,171337人评价
拯救大兵瑞恩       ,69     ,9.0  ,349770人评价
让子弹飞         ,70     ,8.8  ,892278人评价
致命魔术         ,71     ,8.8  ,475062人评价
七宗罪          ,72     ,8.8  ,569169人评价
音乐之声         ,73     ,9.0  ,321182人评价
被嫌弃的松子的一生    ,74     ,8.9  ,422458人评价
低俗小说         ,75     ,8.8  ,469016人评价
猫鼠游戏         ,76     ,8.9  ,369390人评价
沉默的羔羊        ,77     ,8.8  ,474817人评价
天使爱美丽        ,78     ,8.7  ,631959人评价
勇敢的心         ,79     ,8.9  ,374913人评价
蝴蝶效应         ,80     ,8.7  ,522360人评价
剪刀手爱德华       ,81     ,8.7  ,647425人评价
春光乍泄         ,82     ,8.9  ,348298人评价
心灵捕手         ,83     ,8.8  ,381954人评价
禁闭岛          ,84     ,8.7  ,509191人评价
布达佩斯大饭店      ,85     ,8.8  ,472048人评价
穿条纹睡衣的男孩     ,86     ,9.0  ,235399人评价
入殓师          ,87     ,8.8  ,390737人评价
阿凡达          ,88     ,8.7  ,747232人评价
幽灵公主         ,89     ,8.8  ,319964人评价
阳光灿烂的日子      ,90     ,8.8  ,364754人评价
致命ID         ,91     ,8.7  ,435046人评价
加勒比海盗        ,92     ,8.7  ,491647人评价
第六感          ,93     ,8.8  ,312638人评价
断背山          ,94     ,8.7  ,429391人评价
狩猎           ,95     ,9.1  ,187623人评价
重庆森林         ,96     ,8.7  ,448186人评价
摩登时代         ,97     ,9.2  ,138021人评价
玛丽和马克思       ,98     ,8.9  ,281118人评价
喜剧之王         ,99     ,8.7  ,480734人评价
告白           ,100    ,8.7  ,449388人评价
消失的爱人        ,101    ,8.7  ,499391人评价
大鱼           ,102    ,8.8  ,332349人评价
一一           ,103    ,9.0  ,202195人评价
射雕英雄传之东成西就   ,104    ,8.7  ,367634人评价
阳光姐妹淘        ,105    ,8.8  ,359583人评价
爱在黎明破晓前      ,106    ,8.8  ,308449人评价
甜蜜蜜          ,107    ,8.8  ,295735人评价
小森林 夏秋篇      ,108    ,9.0  ,209398人评价
请以你的名字呼唤我    ,109    ,8.8  ,300703人评价
侧耳倾听         ,110    ,8.8  ,239377人评价
驯龙高手         ,111    ,8.7  ,413237人评价
红辣椒          ,112    ,8.9  ,197223人评价
倩女幽魂         ,113    ,8.7  ,376503人评价
恐怖直播         ,114    ,8.7  ,330031人评价
风之谷          ,115    ,8.8  ,235047人评价
超脱           ,116    ,8.8  ,242290人评价
爱在日落黄昏时      ,117    ,8.8  ,269676人评价
上帝之城         ,118    ,8.9  ,193712人评价
菊次郎的夏天       ,119    ,8.8  ,263696人评价
幸福终点站        ,120    ,8.7  ,296294人评价
哈利·波特与死亡圣器(下),121    ,8.7  ,386873人评价
小森林 冬春篇      ,122    ,9.0  ,182697人评价
7号房的礼物       ,123    ,8.8  ,256896人评价
杀人回忆         ,124    ,8.7  ,288186人评价
借东西的小人阿莉埃蒂   ,125    ,8.7  ,291567人评价
神偷奶爸         ,126    ,8.5  ,540924人评价
蝙蝠侠：黑暗骑士崛起   ,127    ,8.7  ,394574人评价
萤火之森         ,128    ,8.8  ,241203人评价
唐伯虎点秋香       ,129    ,8.5  ,508757人评价
超能陆战队        ,130    ,8.6  ,530945人评价
怪兽电力公司       ,131    ,8.6  ,343426人评价
岁月神偷         ,132    ,8.7  ,381393人评价
电锯惊魂         ,133    ,8.7  ,271110人评价
无人知晓         ,134    ,9.1  ,120276人评价
七武士          ,135    ,9.2  ,104252人评价
谍影重重3        ,136    ,8.8  ,243010人评价
真爱至上         ,137    ,8.6  ,415554人评价
疯狂原始人        ,138    ,8.7  ,494056人评价
喜宴           ,139    ,8.9  ,186550人评价
英雄本色         ,140    ,8.6  ,258624人评价
东邪西毒         ,141    ,8.6  ,345314人评价
萤火虫之墓        ,142    ,8.7  ,260349人评价
贫民窟的百万富翁     ,143    ,8.5  ,483044人评价
血战钢锯岭        ,144    ,8.7  ,447829人评价
黑天鹅          ,145    ,8.5  ,529828人评价
记忆碎片         ,146    ,8.6  ,359566人评价
傲慢与偏见        ,147    ,8.5  ,408012人评价
时空恋旅人        ,148    ,8.7  ,285877人评价
心迷宫          ,149    ,8.7  ,260540人评价
纵横四海         ,150    ,8.8  ,213239人评价
荒蛮故事         ,151    ,8.8  ,209853人评价
雨人           ,152    ,8.7  ,258280人评价
教父3          ,153    ,8.8  ,181196人评价
达拉斯买家俱乐部     ,154    ,8.7  ,252708人评价
完美的世界        ,155    ,9.1  ,114539人评价
玩具总动员3       ,156    ,8.8  ,254369人评价
花样年华         ,157    ,8.6  ,322237人评价
卢旺达饭店        ,158    ,8.9  ,155252人评价
海边的曼彻斯特      ,159    ,8.6  ,281424人评价
被解救的姜戈       ,160    ,8.6  ,339192人评价
恋恋笔记本        ,161    ,8.5  ,369214人评价
你看起来好像很好吃    ,162    ,8.8  ,193253人评价
三块广告牌        ,163    ,8.7  ,462557人评价
海洋           ,164    ,9.0  ,113911人评价
虎口脱险         ,165    ,8.9  ,134622人评价
头脑特工队        ,166    ,8.7  ,321299人评价
二十二          ,167    ,8.7  ,158019人评价
你的名字。        ,168    ,8.4  ,705964人评价
无敌破坏王        ,169    ,8.7  ,289274人评价
冰川时代         ,170    ,8.5  ,361354人评价
雨中曲          ,171    ,9.0  ,119682人评价
我是山姆         ,172    ,8.9  ,143787人评价
燃情岁月         ,173    ,8.8  ,178869人评价
爆裂鼓手         ,174    ,8.6  ,310634人评价
人工智能         ,175    ,8.6  ,248371人评价
未麻的部屋        ,176    ,8.9  ,138201人评价
穿越时空的少女      ,177    ,8.6  ,238035人评价
模仿游戏         ,178    ,8.6  ,338718人评价
一个叫欧维的男人决定去死 ,179    ,8.8  ,182980人评价
魂断蓝桥         ,180    ,8.8  ,159135人评价
房间           ,181    ,8.8  ,217933人评价
猜火车          ,182    ,8.5  ,298472人评价
忠犬八公物语       ,183    ,9.1  ,89899人评价
魔女宅急便        ,184    ,8.6  ,265070人评价
恐怖游轮         ,185    ,8.4  ,437343人评价
罗生门          ,186    ,8.7  ,167548人评价
完美陌生人        ,187    ,8.5  ,317887人评价
阿飞正传         ,188    ,8.5  ,281842人评价
哪吒闹海         ,189    ,8.9  ,114924人评价
香水           ,190    ,8.5  ,349002人评价
黑客帝国3：矩阵革命   ,191    ,8.6  ,212734人评价
海街日记         ,192    ,8.7  ,199016人评价
朗读者          ,193    ,8.5  ,325734人评价
浪潮           ,194    ,8.7  ,167347人评价
可可西里         ,195    ,8.7  ,164466人评价
谍影重重2        ,196    ,8.6  ,209685人评价
